ID,elevation,lat_mosart,lon_mosart,lat_tgw,lon_tgw
0,80.21333333333334,25.0625,-124.9375,25.84448,-122.37927
1,84.04444444444445,25.0625,-124.8125,25.84448,-122.37927
2,85.12,25.0625,-124.6875,25.741686,-122.34766
3,86.93333333333334,25.0625,-124.5625,25.741686,-122.34766
4,89.39555555555556,25.0625,-124.4375,25.741686,-122.34766
5,90.72888888888889,25.0625,-124.3125,25.638926,-122.3161
6,92.88888888888889,25.0625,-124.1875,25.638926,-122.3161
7,95.69333333333333,25.0625,-124.0625,25.638926,-122.3161
8,97.28888888888889,25.0625,-123.9375,25.53618,-122.28462
9,99.5111111111111,25.0625,-123.8125,25.53618,-122.28462
10,102.03555555555556,25.0625,-123.6875,25.53618,-122.28462
11,105.01777777777778,25.0625,-123.5625,25.433468,-122.25322
12,106.38222222222223,25.0625,-123.4375,25.433468,-122.25322
13,108.39555555555556,25.0625,-123.3125,25.433468,-122.25322
14,109.48,25.0625,-123.1875,25.33079,-122.22189
15,112.28888888888889,25.0625,-123.0625,25.33079,-122.22189
16,113.26666666666667,25.0625,-122.9375,25.33079,-122.22189
17,116.07555555555555,25.0625,-122.8125,25.228125,-122.19064
18,118.81777777777778,25.0625,-122.6875,25.228125,-122.19064
19,120.95555555555555,25.0625,-122.5625,25.228125,-122.19064
20,121.44444444444444,25.0625,-122.4375,25.125494,-122.159485
21,123.43555555555555,25.0625,-122.3125,25.125494,-122.159485
22,126.2088888888889,25.0625,-122.1875,25.125494,-122.159485
23,126.70222222222222,25.0625,-122.0625,25.050991,-122.01514
24,126.70222222222222,25.0625,-121.9375,25.078953,-121.90181
25,129.61777777777777,25.0625,-121.8125,25.106792,-121.78841
26,130.33333333333334,25.0625,-121.6875,25.031763,-121.644424
27,130.41333333333333,25.0625,-121.5625,25.059317,-121.531006
28,130.92,25.0625,-121.4375,25.086746,-121.41751
29,132.05777777777777,25.0625,-121.3125,25.11406,-121.30394
30,133.1822222222222,25.0625,-121.1875,25.038368,-121.16037
31,133.44,25.0625,-121.0625,25.065382,-121.04678
32,133.8711111111111,25.0625,-120.9375,25.092285,-120.933136
33,136.36,25.0625,-120.8125,25.01608,-120.78993
34,137.9111111111111,25.0625,-120.6875,25.042692,-120.676254
35,137.95555555555555,25.0625,-120.5625,25.06918,-120.562515
36,138.75555555555556,25.0625,-120.4375,25.09555,-120.4487
37,140.78666666666666,25.0625,-120.3125,25.01867,-120.30594
38,143.25333333333333,25.0625,-120.1875,25.044762,-120.19211
39,143.25333333333333,25.0625,-120.0625,25.070715,-120.07822
40,145.28444444444443,25.0625,-119.9375,25.09657,-119.96425
41,147.70666666666668,25.0625,-119.8125,25.019026,-119.82193
42,149.7511111111111,25.0625,-119.6875,25.044584,-119.70795
43,150.6977777777778,25.0625,-119.5625,25.070013,-119.5939
44,152.94666666666666,25.0625,-119.4375,25.095304,-119.4798
45,154.68444444444444,25.0625,-119.3125,25.017105,-119.33792
46,157.21333333333334,25.0625,-119.1875,25.042118,-119.223816
47,158.4711111111111,25.0625,-119.0625,25.067015,-119.10962
48,162.16,25.0625,-118.9375,25.091787,-118.99539
49,164.3022222222222,25.0625,-118.8125,25.012913,-118.85394
50,166.78222222222223,25.0625,-118.6875,25.037397,-118.7397
51,169.0888888888889,25.0625,-118.5625,25.086008,-118.51102
52,172.00444444444443,25.0625,-118.4375,25.110119,-118.396576
53,173.20888888888888,25.0625,-118.3125,25.030418,-118.25566
54,176.16,25.0625,-118.1875,25.054255,-118.141235
55,178.7422222222222,25.0625,-118.0625,25.077955,-118.02672
56,181.80444444444444,25.0625,-117.9375,25.10152,-117.912155
57,182.97333333333333,25.0625,-117.8125,25.021183,-117.77173
58,185.44444444444446,25.0625,-117.6875,25.044487,-117.657166
59,189.54666666666665,25.0625,-117.5625,25.067642,-117.54254
60,193.37777777777777,25.0625,-117.4375,25.090694,-117.42786
61,196.41333333333333,25.0625,-117.3125,25.11361,-117.31311
62,199.87555555555556,25.0625,-117.1875,25.032446,-117.17322
